::ffff:127.0.0.1 - - [10/Jul/2025:15:23:39 +0000] "GET /tasks?limit=10&page=1&order=asc HTTP/1.1" 200 2020 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [10/Jul/2025:15:24:25 +0000] "GET /tasks?limit=10&page=1&order=asc HTTP/1.1" 200 2020 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [10/Jul/2025:17:50:08 +0000] "GET /tasks?limit=2&page=1&order=asc HTTP/1.1" 200 562 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [10/Jul/2025:18:08:49 +0000] "GET /tasks?limit=2&page=1&order=asc HTTP/1.1" 200 995 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [10/Jul/2025:18:10:23 +0000] "GET /tasks?limit=2&page=5&order=asc HTTP/1.1" 200 993 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [11/Jul/2025:12:58:30 +0000] "GET /tasks? HTTP/1.1" 200 2507 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [11/Jul/2025:13:05:15 +0000] "GET /tasks HTTP/1.1" 200 1724 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [11/Jul/2025:13:33:00 +0000] "GET /tasks?limit=2&page=5&order=asc HTTP/1.1" 200 993 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [11/Jul/2025:13:33:34 +0000] "GET /tasks?limit=2&page=5&order=dsc HTTP/1.1" 200 993 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [11/Jul/2025:13:34:44 +0000] "GET /tasks?limit=2&page=5&order=dsc HTTP/1.1" 200 993 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [11/Jul/2025:13:43:32 +0000] "GET /tasks?limit=2&page=5&order=dsc HTTP/1.1" 200 971 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [11/Jul/2025:16:48:02 +0000] "POST /tasks HTTP/1.1" 201 340 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [11/Jul/2025:17:15:58 +0000] "POST /users/create HTTP/1.1" 201 240 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [11/Jul/2025:17:25:57 +0000] "POST /users/create HTTP/1.1" 400 119 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [12/Jul/2025:13:58:12 +0000] "POST /auth/login HTTP/1.1" 500 765 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [12/Jul/2025:13:59:49 +0000] "POST /auth/login HTTP/1.1" 200 62 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [12/Jul/2025:14:28:07 +0000] "POST /auth/login HTTP/1.1" 200 74 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [12/Jul/2025:14:28:41 +0000] "POST /auth/login HTTP/1.1" 200 74 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [12/Jul/2025:14:29:09 +0000] "POST /auth/login HTTP/1.1" 400 162 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [12/Jul/2025:14:29:29 +0000] "POST /auth/login HTTP/1.1" 400 111 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [12/Jul/2025:16:05:05 +0000] "POST /auth/login HTTP/1.1" 200 340 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [12/Jul/2025:16:39:28 +0000] "POST /tasks HTTP/1.1" 401 128 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [12/Jul/2025:16:40:29 +0000] "POST /auth/login HTTP/1.1" 200 340 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [12/Jul/2025:16:41:16 +0000] "POST /tasks HTTP/1.1" 401 128 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [12/Jul/2025:16:41:53 +0000] "POST /tasks HTTP/1.1" 403 114 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [12/Jul/2025:16:42:13 +0000] "POST /tasks HTTP/1.1" 201 340 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [12/Jul/2025:16:49:12 +0000] "POST /tasks HTTP/1.1" 201 340 "-" "vscode-restclient"
::ffff:127.0.0.1 - - [12/Jul/2025:16:49:21 +0000] "POST /tasks HTTP/1.1" 201 340 "-" "vscode-restclient"
::1 - - [13/Jul/2025:14:45:29 +0000] "GET /api-docs HTTP/1.1" 301 158 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
